standard_name,description_brief,external_details_URL,summary
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,RAF-independent MAPK1/3 activation,https://www.reactome.org/content/detail/R-HSA-112409,"Depending upon the stimulus and cell type mitogen-activated protein kinases (MAPK) signaling pathway can transmit signals to regulate many different biological processes by virtue of their ability to target multiple effector proteins (Kyriakis JM &amp; Avruch J 2012; Yoon and Seger 2006; Shaul YD &amp; Seger R 2007; Arthur JS &amp; Ley SC 2013). In particular, the extracellular signal-regulated kinases MAPK3(ERK1) and MAPK1 (ERK2) are involved in diverse cellular processes such as proliferation, differentiation, regulation of inflammatory responses, cytoskeletal remodeling, cell motility and invasion through the increase of matrix metalloproteinase production (Viala E &amp; Pouyssegur J 2004; Hsu MC et al. 2006; Dawson CW et al.2008; Kuriakose T et al. 2014).The canonical RAF:MAP2K:MAPK1/3 cascade is stimulated by various extracellular stimuli including hormones, cytokines, growth factors, heat shock and UV irradiation triggering the GEF-mediated activation of RAS at the plasma membrane and leading to the activation of the RAF MAP3 kinases. However, many physiological and pathological stimuli have been found to activate MAPK1/3 independently of RAF and RAS (Dawson CW et al. 2008; Wang J et al. 2009; Kuriakose T et al. 2014). For example, AMP-activated protein kinase (AMPK), but not RAF1, was reported to regulate MAP2K1/2 and MAPK1/3 (MEK and ERK) activation in rat hepatoma H4IIE and human erythroleukemia K562 cells in response to autophagy stimuli (Wang J et al. 2009). Tumor progression locus 2 (TPL2, also known as MAP3K8 and COT) is another MAP3 kinase which promotes MAPK1/3 (ERK)-regulated immune responses downstream of toll-like receptors (TLR), TNF receptor and IL1beta signaling pathways (Gantke T et al. 2011).In response to stimuli the cell surface receptors transmit signals inducing MAP3 kinases, e.g., TPL2, MEKK1, which in turn phosphorylate MAP2Ks (MEK1/2). MAP2K then phosphorylate and activate the MAPK1/3 (ERK1 and ERK2 MAPKs). Activated MAPK1/3 phosphorylate and regulate the activities of an ever growing pool of substrates that are estimated to comprise over 160 proteins (Yoon and Seger 2006). The majority of ERK substrates are nuclear proteins, but others are found in the cytoplasm and other organelles. Activated MAPK1/3 can translocate to the nucleus, where they phosphorylate and regulate various transcription factors, such as Ets family transcription factors (e.g., ELK1), ultimately leading to changes in gene expression (Zuber J et al. 2000)."
REACTOME_MAPK1_ERK2_ACTIVATION,MAPK1 (ERK2) activation,https://www.reactome.org/content/detail/R-HSA-112411,Mitogen-activated protein kinase kinase MAP2K2 (also known as MEK2) is a dual threonine and tyrosine recognition kinase that phosphorylates and activates MAPK1 (ERK2) (Ohren et al. 2004; Roskoski 2012). 
REACTOME_SOS_MEDIATED_SIGNALLING,SOS-mediated signalling,https://www.reactome.org/content/detail/R-HSA-112412,SOS is recruited to the plasma membrane and mediates activation of Ras.
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,Formation of the Early Elongation Complex,https://www.reactome.org/content/detail/R-HSA-113418,"Transcription elongation by RNA polymerase II (RNAPII) is controlled by a number of trans-acting transcription elongation factors as well as by cis-acting elements.  Transcription elongation is a rate-limiting step for proper mRNA production in which the phosphorylation of Pol II CTD is a crucial biochemical event.  The role of CTD phosphorylation in transcription by Pol II is greatly impaired by protein kinase inhibitors such as 5,6-dichloro-1- ribofuranosylbenzimidazole (DRB), which block CTD phosphorylation and induce arrest of elongating Pol II.  DRB-sensitive activation Pol II CTD during elongation has enabled the isolation of two sets of factors  -Negative Elongation Factors (NELF) and DRB sensitivity inducing factor (DSIF).  P-Tefb is a DRB-sensitive, cyclin-dependent CTD kinase composed of Cdk9 that carries out Serine-2 phosphorylation of Pol II CTD during elongation.The mechanism by which DSIF, NELF and P-TEFb act together in Pol II-regulated elongation is yet to be fully understood. Various biochemical evidences point to a model in which DSIF and NELF negatively regulate elongation through interactions with polymerase containing a hypophosphorylated CTD. Subsequent phosphorylation of the Pol II CTD by P-Tefb might promote elongation by inhibiting interactions of DSIF and NELF with the elongation complex."
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,Inhibition of replication initiation of damaged DNA by RB1/E2F1,https://www.reactome.org/content/detail/R-HSA-113501,"During S phase of the cell cycle, RB1 is dephosphorylated by the PP2A protein phosphatase complex. Unphosphorylated RB1 associates with DNA damage sites in S phase, preventing initiation of DNA replication from these sites (Knudsen et al. 2000, Avni et al. 2003)."
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,E2F-enabled inhibition of pre-replication complex formation,https://www.reactome.org/content/detail/R-HSA-113507,"Under specific conditions, Cyclin B, a mitotic cyclin, can inhibit the functions of pre-replicative complex.  E2F1 activates Cdc25A protein which regulates Cyclin B in a positive manner. Cyclin B/Cdk1 function is restored which leads to the disruption of pre-replicative complex. This phenomenon has been demonstrated by Bosco et al (2001) in Drosophila."
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,E2F mediated regulation of DNA replication,https://www.reactome.org/content/detail/R-HSA-113510,"Progression through G1 and G1 to S-phase transition that initiates DNA synthesis involve many complexes that are regulated by RB1:E2F pathway. RB1:E2F pathway plays a key role in gene expression regulation in proliferating and differentiated cells.  As a repressor, E2F remains bound to RB1; it can activate the expression of S-phase genes involved in DNA replication after the phosphorylation of RB1.E2F proteins regulate expression of genes involved in various processes thereby forming interlinks between cell cycle, DNA synthesis, DNA damage recognition etc.In this module, activation of replication related genes by E2F1 and two ways by which E2F1 regulates DNA replication initiation are annotated."
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,Activation of BH3-only proteins,https://www.reactome.org/content/detail/R-HSA-114452,"The BH3-only members act as sentinels that selectively trigger apoptosis in response to developmental cues or stress-signals like DNA damages. Widely expressed mammalian BH3-only proteins are thought to act by binding to and neutralizing their pro-survival counterparts. Activation of BH3-only proteins directly or indirectly results in the activation of proapoptotic BAX and BAK to trigger cell death. Anti-apoptotic BCL-2 or BCL-XL may bind and sequester BH3-only molecules to prevent BAX, BAK activation. The individual BH3-only members are held in check by various mechanisms with in the cells. They are recruited for death duties in response to death cues by diverse activation processes.The mechanisms involved in activation and release of BH3-only proteins for apoptosis will be discussed in this section. The following figure has been reproduced here with the kind permission from the authors."
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,Effects of PIP2 hydrolysis,https://www.reactome.org/content/detail/R-HSA-114508,"Hydrolysis of phosphatidyl inositol-bisphosphate (PIP2) by phospholipase C (PLC) produces diacylglycerol (DAG) and inositol triphosphate (IP3). Both are potent second messengers. IP3 diffuses into the cytosol, but as DAG is a hydrophobic lipid it remains within the plasma membrane. IP3 stimulates the release of calcium ions from the smooth endoplasmic reticulum, while DAG activates the conventional and unconventional protein kinase C (PKC) isoforms, facilitating the translocation of PKC from the cytosol to the plasma membrane. The effects of DAG are mimicked by tumor-promoting phorbol esters. DAG is also a precursor for the biosynthesis of prostaglandins, the endocannabinoid 2-arachidonoylglycerol and an activator of a subfamily of TRP-C (Transient Receptor Potential Canonical) cation channels 3, 6, and 7."
REACTOME_DISINHIBITION_OF_SNARE_FORMATION,Disinhibition of SNARE formation,https://www.reactome.org/content/detail/R-HSA-114516,"The SNARE (SNAp REceptor) family of proteins are critical components of the machinery required for membrane fusion (Söllner et al. 1993, Wu et al. 2017). SNAREs can be grouped into three broad subfamilies: synaptosomal-associated proteins (SNAPs), vesicle-associated membrane proteins (VAMPs) and syntaxins. SNAPs contain two SNARE motifs and lack transmembrane domains, instead they are anchored to the membrane by thioester-linked acyl groups (Hong 2005). VAMPS or  R-SNAREs have two subfamilies: short VAMPs or brevins and long VAMPs or longins. Syntaxins are evolutionarily less-well conserved, but except STX11 are transmembrane proteins (Hong 2005). Several SNARE proteins including Syntaxin-2 (STX2), STX4, STX11 and Vesicle-associated membrane protein 8 (VAMP8) are thought to be involved in platelet granule secretion (Golebiewska et al. 2013)."
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,GPVI-mediated activation cascade,https://www.reactome.org/content/detail/R-HSA-114604,"The GPVI receptor is a complex of the GPVI protein with Fc epsilon R1 gamma (FcR). The Src family kinases Fyn and Lyn constitutively associate with the GPVI-FcR complex in platelets and initiate platelet activation through phosphorylation of the immunoreceptor tyrosine-based activation motif (ITAM) in the FcR gamma chain, leading to binding and activation of the tyrosine kinase Syk. Downstream of Syk, a series of adapter molecules and effectors lead to platelet activation. The GPVI receptor signaling cascade is similar to that of T- and B-cell immune receptors, involving the formation of a signalosome composed of adapter and effector proteins. At the core of the T-cell receptor signalosome is the transmembrane adapter LAT and two cytosolic adapters SLP-76 and Gads. While LAT is essential for signalling to PLCgamma1 downstream of the T-cell receptor, the absence of LAT in platelets only impairs the activation of PLCgamma2, the response to collagen and GPVI receptor ligands remains sufficient to elicit a full aggregation response. In contrast, GPVI signalling is almost entirely abolished in the absence of SLP-76."
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,Downstream signaling events of B Cell Receptor (BCR),https://www.reactome.org/content/detail/R-HSA-1168372,"Second messengers (calcium, diacylglycerol, inositol 1,4,5-trisphosphate, and phosphatidyinositol 3,4,5-trisphosphate) trigger signaling pathways: NF-kappaB is activated via protein kinase C beta, RAS via RasGRP proteins, NF-AT via calcineurin, and AKT via PDK1 (reviewed in Shinohara and Kurosaki 2009, Stone 2006)."
